edad,zona,anios_vehiculo,cobertura,historial_siniestros,tipo_uso,numero_siniestros,tuvo_siniestro,severidad_promedio,costo_siniestros,lambda_real,prob_siniestro_real,severidad_esperada_real,prima_pura_real
54,2,0,1,1,1,0,0,,0.0,0.12148068500391276,0.1143918412982079,9239.564209042877,1122.428589252164
40,5,1,0,2,1,0,0,,0.0,0.2766505836319734,0.2416805799588364,9540.01178722743,2639.249828792374
64,4,3,0,1,2,0,0,,0.0,0.14616780031605184,0.13598729058572978,10272.74961700065,1501.545214714549
49,4,6,1,0,0,0,0,,0.0,0.1422029523320156,0.1325548114040973,13137.815104283169,1868.236095021214
43,1,18,1,0,0,0,0,,0.0,0.10284831974125948,0.0977361812876314,9969.1439830804,1025.3097079185059
43,1,18,2,2,0,0,0,,0.0,0.20301000813458928,0.1837299279560124,12673.265817922727,2572.7997967883052
30,2,2,0,0,1,0,0,,0.0,0.08543495096732123,0.08188713653458124,7152.734427570845,611.0935151017857
23,5,19,0,1,1,0,0,,0.0,0.2323524219014969,0.2073332790372322,11840.131324822405,2751.083188954265
49,3,12,0,0,1,0,0,,0.0,0.11997162769865424,0.1130543989519589,8912.8559302673,1069.2898333977712
68,4,11,2,0,1,0,0,,0.0,0.12912168818537556,0.12113298869361078,19995.24951354483,2581.820372876718
21,3,15,0,1,0,0,0,,0.0,0.14726818008452872,0.136937509794,9239.564209042896,1360.6938058398953
66,3,9,2,0,0,0,0,,0.0,0.0999585179056055,0.09512504663433707,16305.373580796846,1629.8609770336684
65,4,5,0,2,1,0,0,,0.0,0.17951437332959386,0.16432406058887572,9056.60857963643,1625.7914136648567
33,5,10,0,0,0,0,0,,0.0,0.16956821241318237,0.1559708207504008,10628.02862252103,1802.175814997028
54,3,14,2,0,1,0,0,,0.0,0.15137425479919114,0.14047404325810742,17313.641573165245,2620.8395909981846
27,3,13,0,0,0,1,1,5256.54980959789,5256.54980959789,0.11654241441533052,0.11000765232894927,9020.454501679225,1051.265546749334
61,5,3,2,0,1,0,0,,0.0,0.1627565097873484,0.1502019192591697,21747.411109848224,3539.532729149502
57,2,18,0,1,2,0,0,,0.0,0.1474155219232541,0.1370646656403237,10069.335545796503,1484.376354903966
38,5,5,1,0,0,0,0,,0.0,0.1742960480461116,0.15995183377622968,14931.82320565183,2602.5577748683354
21,3,16,1,0,0,0,0,,0.0,0.11997162769865424,0.1130543989519589,12877.66893536782,1544.954903140473
73,5,6,2,4,2,0,0,,0.0,0.49932404760383325,0.39305921583789893,26193.066046284974,13078.827757385547
43,3,1,0,0,0,0,0,,0.0,0.10545193735124445,0.10008227576312423,7810.701034929542,823.6535562046903
68,4,19,0,0,1,0,0,,0.0,0.11225300299255292,0.10618190976056174,10713.393857158993,1202.6106327080665
56,2,11,1,2,2,0,0,,0.0,0.2180567345113837,0.19592017870332756,12249.617610300644,2671.111615115298
62,4,4,2,1,0,0,0,,0.0,0.16496862082263145,0.1520796892877091,18384.25737617396,3032.825584195707
61,2,0,2,0,0,0,0,,0.0,0.08204396638350181,0.07876854540948075,12225.142857990617,1002.9992096744894
29,4,2,2,4,0,1,1,16300.04447743271,16300.04447743271,0.47213042850062353,0.37632783701240635,17948.28776087006,8473.932791392077
38,4,3,1,1,0,0,0,,0.0,0.19071025352350304,0.1736280081607574,12673.265817922727,2416.9217371067884
44,3,18,1,0,0,0,0,,0.0,0.14690046946410887,0.1366200941952984,13190.471607498073,1937.6864715944657
46,3,3,2,0,0,0,0,,0.0,0.12580779162853098,0.11821568317636233,15172.653884675241,1908.8380783750438
20,2,3,2,3,0,0,0,,0.0,0.21545569116974203,0.19382600990675503,12673.265817922727,2730.5272461784075
49,4,16,2,0,1,0,0,,0.0,0.1977997744672879,0.17946587142578396,21231.686690775234,4199.6228389954595
26,3,17,2,2,0,1,1,13492.092558472628,13492.092558472628,0.26106130870267136,0.22976630386117514,17948.28776087009,4685.603491824885
60,3,4,2,0,0,0,0,,0.0,0.10645850437925285,0.10098764753713174,15355.822545236064,1634.757901679043
56,1,13,0,0,0,0,0,,0.0,0.07784777201954257,0.07489475727200323,7385.323507265496,574.9309806841729
70,1,10,0,2,1,0,0,,0.0,0.09827358560436154,0.09359910840653096,7124.180635516386,700.1187755453544
60,1,11,2,4,0,0,0,,0.0,0.27389786433144564,0.23959026374837677,11652.196709800106,3191.5117935841467
38,5,6,1,0,0,1,1,14449.664288102796,14449.664288102796,0.17693019548249697,0.16216173262221378,15112.084488687642,2673.784062731515
73,5,15,0,0,2,1,1,11713.943237789179,11713.943237789179,0.120091659332167,0.1131608540921697,13111.565732196494,1574.589685222256
41,1,17,1,1,1,0,0,,0.0,0.14435207473915537,0.1344170554838683,9850.229171129473,1421.90101750869
36,1,14,1,1,1,0,0,,0.0,0.13696908986961756,0.128002820737951,9501.927958514341,1301.4704244843826
69,4,18,2,0,1,0,0,,0.0,0.13938714521614545,0.13010881095283122,21747.411109848224,3031.3095504436296
39,3,2,2,0,0,1,1,6458.899097895094,6458.899097895094,0.1261227045847804,0.11849332476358665,14991.670112492284,1890.7899808303457
22,2,13,0,3,0,0,0,,0.0,0.22157370298299808,0.19874313504947871,8162.044760810268,1808.49448156571
44,4,19,0,0,0,0,0,,0.0,0.1648037346586313,0.15193986743327015,10713.393857158993,1765.6073185286411
63,2,10,0,0,1,0,0,,0.0,0.07773108789648382,0.07478680588003428,7873.437253490392,612.0108431985119
28,1,18,2,0,2,0,0,,0.0,0.14057698560832746,0.13114322710926318,14724.234194460492,2069.8884584483158
44,2,6,0,0,1,1,1,8962.08486523626,8962.08486523626,0.09460925260909793,0.09027166099809303,7504.439066736405,709.9893713544477
25,5,17,1,1,0,1,1,10199.513282879258,10199.513282879258,0.25220828628094644,0.22291713448842976,17244.525331510835,4349.212181588718
57,4,18,1,0,1,0,0,,0.0,0.1612982731074063,0.14896180855958752,15172.653884675214,2447.322870054492
45,1,12,1,1,1,0,0,,0.0,0.13232424062050865,0.12394310420789478,9276.596481046703,1227.5185848973879
36,3,14,1,0,0,0,0,,0.0,0.13834565210817365,0.12920235332200247,12572.28415659294,1739.32085013311
30,5,10,1,0,0,1,1,9206.31622443645,9206.31622443645,0.17906614791149322,0.1639494054328271,15855.155586315179,2839.121635378852
50,5,6,1,2,0,0,0,,0.0,0.3072787386011313,0.264554424736557,15112.084488687642,4643.622259317661
56,4,10,0,1,0,1,1,6984.462057448264,6984.462057448264,0.17238929786993218,0.1583485437362565,9616.637977614208,1657.8054688302377
71,1,19,0,0,1,0,0,,0.0,0.05987477386758413,0.05811752550107596,7936.677374722966,475.2067630715089
42,2,0,1,0,0,0,0,,0.0,0.09423157146452545,0.08992800886638852,9239.564209042877,870.6586550654954
27,2,4,0,1,1,0,0,,0.0,0.11480732391071016,0.10846209460380063,7326.47662060374,841.1331745058988
65,1,9,1,2,0,0,0,,0.0,0.12033208299435234,0.11337404557823227,8948.578752001402,1076.8011210673305
53,1,6,0,1,0,0,0,,0.0,0.09881557944196351,0.09409023899727198,6790.297268953957,670.9871592148676
57,2,12,2,2,1,0,0,,0.0,0.21341855382695513,0.1921820488480479,14118.62321114021,3013.176147749225
23,3,7,0,0,1,0,0,,0.0,0.10030898567910962,0.09544212057919765,8393.811608071786,841.9747283872169
35,2,13,1,4,1,0,0,,0.0,0.3955413286560013,0.3266845443726699,10799.444752660644,4271.626726214472
61,3,2,0,0,1,0,0,,0.0,0.08625045049102159,0.08263555192976424,7904.994074069774,681.8093000173741
65,2,6,1,0,1,0,0,,0.0,0.07946012146230588,0.07638514835611898,9929.347054068665,788.9871229576852
42,1,13,0,1,0,0,0,,0.0,0.11919434103695838,0.11236471996219854,7385.323507265496,880.2887687932691
63,5,9,1,0,1,0,0,,0.0,0.14964342223144023,0.1389850595203006,15666.030737862866,2344.318452396734
65,3,14,0,0,0,0,0,,0.0,0.09418446745577669,0.08988513981771207,9129.352034126798,859.8431595505441
40,2,12,1,0,1,0,0,,0.0,0.11883729385240965,0.11204773569875304,10670.625874719184,1268.0683026631295
69,5,6,1,1,1,1,1,20270.685938038125,20270.685938038125,0.1652162594363935,0.15228964110087362,15112.084488687642,2496.7620715077155
34,5,8,2,1,0,0,0,,0.0,0.26236988395812605,0.23077355344218897,23092.195909183436,6058.696761030771
31,5,19,1,1,1,1,1,10769.701068072683,10769.701068072683,0.2936108581869645,0.25443343387518513,17663.40033368609,5186.166130473488
56,1,19,1,0,1,0,0,,0.0,0.09700429724162342,0.09244789384579288,10089.494368991673,978.7243107873539
54,4,0,2,0,0,0,0,,0.0,0.13292104149817452,0.12446577975006412,17522.656855560235,2329.1297990561943
25,5,14,0,2,1,0,0,,0.0,0.3004421668304639,0.25950927215430053,11150.61575469762,3350.115158835261
65,5,9,1,1,1,1,1,14164.29504370319,14164.29504370319,0.1925306340487132,0.17513095126206868,15666.030737862866,3016.190830987368
29,2,0,0,0,0,0,0,,0.0,0.08204396638350181,0.07876854540948075,6983.112407330842,572.922239599266
63,5,12,1,0,1,1,1,17423.339078167377,17423.339078167377,0.15653118870616992,0.14489515232682837,16240.282355712054,2542.1107020634454
18,3,0,0,0,1,0,0,,0.0,0.0819209926872563,0.07865525120645145,7717.532750235283,632.2279439956857
63,3,6,0,0,0,0,0,,0.0,0.08764155687312523,0.08391081624836827,8293.687813027842,726.8717121534253
62,3,13,1,1,0,0,0,,0.0,0.1455842968996249,0.1354829891014393,12422.318341191714,1808.4944815657104
62,4,16,0,2,1,0,0,,0.0,0.22718286797905665,0.20322493567880462,10334.571394570143,2347.837568752764
55,1,8,0,4,1,0,0,,0.0,0.24353368725792074,0.21614693027303444,6955.235748188675,1693.8342075044911
44,3,16,0,0,1,0,0,,0.0,0.13159845503703405,0.12330704394886349,9351.106897171137,1230.5912205538748
58,5,16,2,0,1,0,0,,0.0,0.20971621905046425,0.18918569302089094,25418.94395455835,5330.7648184056325
33,3,8,0,1,1,0,0,,0.0,0.15497367735510317,0.14356227910708552,8495.144126491869,1316.5237249440506
62,2,3,0,0,0,0,0,,0.0,0.07157567481213492,0.06907417270785321,7239.084303762823,518.142344063758
49,1,13,2,1,0,0,0,,0.0,0.13459298237739004,0.12592839815758372,11935.232272005214,1606.3985068560546
44,3,0,2,1,1,0,0,,0.0,0.18122788617521662,0.165754775921221,14636.153296230978,2652.479123612369
46,4,17,0,0,0,0,0,,0.0,0.15834168779287466,0.14644191824092723,10459.333325752503,1656.1484919879122
50,3,7,1,0,2,0,0,,0.0,0.14587575685622747,0.13573492447559798,13430.049831875314,1959.118683841662
20,5,15,0,0,0,0,0,,0.0,0.1533549668449285,0.1421748317320939,11285.229209122972,1730.645951202472
25,4,14,2,1,0,0,0,,0.0,0.2181657901402745,0.19600786335257825,20728.192310261038,4522.182453547662
31,3,9,0,0,1,0,0,,0.0,0.11469257397133159,0.10835978481329389,8597.699960345846,986.0923386852807
24,1,19,0,0,0,0,0,,0.0,0.08517903018752954,0.08165214230595585,7936.677374722966,676.0384816902102
43,3,15,0,0,0,0,0,,0.0,0.13009374149016328,0.121986879195642,9239.564209042896,1202.0094776929914
56,1,17,1,2,2,0,0,,0.0,0.19928884982836245,0.18068679932713527,11444.333549739258,2280.728070179677
55,4,1,0,2,1,1,1,8546.324667788009,8546.324667788009,0.20649068015930644,0.1865661575045392,8632.159633587491,1782.4605139831904
44,1,9,1,2,0,0,0,,0.0,0.16316391010002004,0.15054805674992278,8948.578752001402,1460.0850990145063
66,5,19,0,2,0,0,0,,0.0,0.25846370527942,0.22776294133117958,11840.131324822405,3060.2442132085266
50,2,16,1,0,1,0,0,,0.0,0.12003162851145673,0.11310761481242004,11195.307541701379,1343.7909959170097
22,3,9,2,0,0,0,0,,0.0,0.11919434103695838,0.11236471996219854,16305.373580796846,1943.5082593245104
61,1,1,0,0,0,0,0,,0.0,0.059279009913370706,0.05755621868708283,6394.86114039483,379.0810369360942
50,2,5,0,1,0,0,0,,0.0,0.12063328955315832,0.11364106291520637,7414.923962738238,894.4866694116539
54,5,11,0,1,1,0,0,,0.0,0.21588703375088183,0.19417367209034742,10756.333254129051,2322.1528802698913
50,2,12,1,0,0,0,0,,0.0,0.107528430135795,0.10194900962374309,10670.625874719184,1147.3956488749482
49,3,18,0,3,1,0,0,,0.0,0.3228717801664699,0.2759333118735602,9578.2482563326,3092.5460653984924
23,5,1,1,0,0,0,0,,0.0,0.14234522640953018,0.13267821758914056,14232.025199974694,2025.8608493565368
49,4,7,1,1,1,0,0,,0.0,0.20484534483444386,0.18522668443003676,13296.4186032912,2723.7094538543
63,1,5,1,2,1,0,0,,0.0,0.12499269292356129,0.11749664891952072,8529.192754856387,1066.0867708936282
35,2,19,1,1,0,0,0,,0.0,0.16737809227680248,0.1541202697244014,11605.68101636866,1942.5367480928885
52,2,3,0,1,1,0,0,,0.0,0.11452066407502992,0.10820648986028047,7239.084303762823,829.0247417620441
19,2,4,0,1,0,0,0,,0.0,0.10020872683120934,0.0953514261019619,7326.47662060374,734.1768943093219
37,2,5,1,2,1,0,0,,0.0,0.19407705656358443,0.17640556153383558,9810.906951314202,1904.07194333027
42,3,2,0,2,1,0,0,,0.0,0.195538106576695,0.17760799557691742,7904.994074069774,1545.7275737435978
74,2,12,1,0,0,0,0,,0.0,0.06341847856432799,0.061449371823275256,10670.625874719184,676.7148583038421
30,2,10,2,0,1,0,0,,0.0,0.12493021219858247,0.11744150774773665,13783.8100824925,1722.0143185107486
33,3,11,0,2,1,1,1,8460.310138622952,8460.310138622952,0.2188212702392339,0.1965346915163192,8806.540825510823,1927.0584498519497
41,2,18,0,1,0,0,0,,0.0,0.15404661924647106,0.14276794343261945,8666.75742156741,1335.084680621722
74,2,8,0,1,0,0,0,,0.0,0.07442227401699995,0.07172037729879166,7686.7242772582385,572.0635004552386
66,3,6,0,0,1,0,0,,0.0,0.08143093836426381,0.07820363157930166,8293.687813027842,675.362781115116
19,5,7,2,0,0,0,0,,0.0,0.15637473575697608,0.1447613581855689,22816.745565730133,3567.962558675205
31,3,16,2,0,1,0,0,,0.0,0.16521625943639356,0.15228964110087373,17734.195430821725,2929.977433194347
64,3,10,0,3,0,0,0,,0.0,0.22357686702670268,0.2003465774758385,8701.493877850995,1945.4527396619594
21,5,3,2,0,1,0,0,,0.0,0.16939872895662106,0.15582775964476014,21747.411109848224,3683.983800105389
66,4,13,0,0,0,0,0,,0.0,0.10828376975109819,0.10262708699174838,9969.143983080436,1079.4964916794277
34,2,14,2,0,0,0,0,,0.0,0.12393475762836008,0.1165625234412474,14461.5690571167,1792.29105601955
70,2,4,2,0,1,0,0,,0.0,0.07653554542391151,0.07368001273300206,12826.261143753285,981.6648923866808
34,3,11,0,0,1,0,0,,0.0,0.12087479755976861,0.11385509984838604,8806.540825510823,1064.4888394854584
42,3,11,1,1,0,0,0,,0.0,0.17960415295929574,0.16439908389743407,12127.731878569037,2178.1910113678405
55,1,3,1,0,1,0,0,,0.0,0.07749824407316222,0.07457135061978792,8326.929002336978,645.3223762030043
25,1,0,0,0,0,0,0,,0.0,0.06505644508450165,0.06298542798200801,6318.581400504115,411.06444389384944
49,2,14,0,0,0,0,0,,0.0,0.10326053690492908,0.09810803327271189,8260.579322900616,852.9918560284731
46,5,12,1,0,1,0,0,,0.0,0.2002877893451731,0.1815048350078231,16240.282355712054,3252.7302513669874
62,4,14,0,2,2,1,1,4656.571872833176,4656.571872833176,0.24365548454833486,0.21624239563918046,11722.320049708742,2856.207571742444
74,5,7,0,2,0,0,0,,0.0,0.16982275559145904,0.15618563527929896,10252.224649575723,1741.0610409336298
55,1,10,0,1,1,1,1,6566.774852431879,6566.774852431879,0.1020288155706959,0.0969964692681039,7124.180635516386,726.8717121534245
41,3,19,1,2,1,1,1,6938.938283187629,6938.938283187629,0.28779697366332047,0.25008617095798613,13349.710791023594,3842.0063649371623
41,3,4,0,0,0,0,0,,0.0,0.11074777063123942,0.10483549276500659,8097.008893052415,896.7256836868746
41,3,13,1,2,1,0,0,,0.0,0.26302662925759096,0.23127857344228242,12422.318341191714,3267.4005208484054
64,3,2,0,0,0,0,0,,0.0,0.08062068698957815,0.07745644213985126,7904.994074069774,637.3060529000494
36,2,1,0,1,1,0,0,,0.0,0.11848131620430775,0.11173158827271024,7067.414557496434,837.3565789336628
27,1,19,1,1,1,0,0,,0.0,0.13676379024802301,0.1278237816693193,10089.494368991673,1379.8774915893864
37,5,2,0,0,0,0,0,,0.0,0.1534316635009171,0.14224062153096184,9655.181565308612,1481.4105689686892
19,5,13,1,0,0,0,0,,0.0,0.15794632797907635,0.14610438895829636,16436.339735576883,2596.0595066509513
24,1,10,0,0,0,0,0,,0.0,0.07442227401699995,0.07172037729879166,7124.180635516386,530.1977234030054
23,3,16,1,0,0,0,0,,0.0,0.12436928926684238,0.11694632158317642,12877.66893536782,1601.5865329053904
61,3,10,0,0,2,0,0,,0.0,0.10747467935954096,0.1019007373885713,10109.693550177806,1086.536072728579
59,4,13,2,4,1,1,1,6687.6262814648535,6687.6262814648535,0.5458014576743176,0.42062274913087916,20480.940480531146,11178.527168814839
57,5,17,0,0,1,0,0,,0.0,0.16704367062537417,0.15383734192213838,11559.351014081107,1930.9164234392495
44,3,16,2,1,1,0,0,,0.0,0.23038579631478837,0.20577286651137783,17734.195430821725,4085.7067363319443
58,4,14,0,1,0,0,0,,0.0,0.17693019548249692,0.16216173262221367,10089.49436899169,1785.1362110252517
27,5,3,0,0,1,0,0,,0.0,0.1437758197185797,0.13391811522175756,9771.74170621945,1404.9401738899342
69,5,3,1,0,0,0,0,,0.0,0.11130289614166065,0.10533228351562918,14577.725616309404,1622.5430802537117
46,2,9,0,0,0,0,0,,0.0,0.09797920663678406,0.09333224377011151,7779.520633167196,762.2312596522138
71,5,13,0,0,0,0,0,,0.0,0.11242150884483618,0.10633251065072169,11017.60800820932,1238.616116143842
26,3,13,2,0,2,0,0,,0.0,0.18213629473497508,0.16651226731578783,19875.637212204303,3620.0749173274817
46,1,15,1,0,1,0,0,,0.0,0.10197781391438719,0.09695041341793165,9616.637977614191,980.6837181631688
57,4,2,1,0,0,0,0,,0.0,0.12069362127960957,0.11369453686703213,12522.09546426946,1511.337047591655
46,5,3,2,2,1,1,1,14494.760862162708,14494.760862162708,0.36312795998045994,0.3045025680329051,21747.411109848224,7897.093031175576
43,2,2,0,2,1,0,0,,0.0,0.16291934770252353,0.15034028734086657,7152.734427570845,1165.318827229225
27,3,10,0,0,1,0,0,,0.0,0.11141425470780554,0.10543190688265236,8701.493877850995,969.4704552453013
39,2,12,2,1,0,1,1,9123.73043660654,9123.73043660654,0.16521625943639345,0.15228964110087362,14118.62321114021,2332.626115336427
31,1,2,0,3,0,0,0,,0.0,0.1771957899217512,0.16238422825891385,6472.061751340123,1146.8220944510656
35,5,17,0,0,0,0,0,,0.0,0.19061492223155038,0.1735492252959654,11559.351014081107,2203.3847945962634
56,1,6,0,0,1,0,0,,0.0,0.07008825817789911,0.06768846784234428,6790.297268953957,475.9201080911282
53,3,13,0,0,1,0,0,,0.0,0.11654241441533052,0.11000765232894927,9020.454501679225,1051.265546749334
52,1,15,0,0,0,0,0,,0.0,0.08483899459135245,0.08133981824702752,7564.715362982049,641.7828457651549
38,4,0,0,2,0,0,0,,0.0,0.22718286797905665,0.20322493567880462,8529.192754856402,1937.6864715944685
72,5,17,1,2,1,1,1,75516.50922773484,75516.50922773484,0.24002792697833422,0.21339410676593062,17244.525331510835,4139.167667047917
22,4,19,1,1,1,0,0,,0.0,0.2171862497035998,0.19521993470297827,15355.822545236037,3335.0735097138013
37,4,19,2,0,0,1,1,32367.493925425435,32367.493925425435,0.19407705656358434,0.17640556153383546,22009.95213885567,4271.626726214477
24,5,2,0,2,1,1,1,12776.54124987314,12776.54124987314,0.24709065139237807,0.21893011475065216,9655.181565308612,2385.7051022837854
37,5,7,0,0,2,0,0,,0.0,0.18277488865400796,0.167044357600576,11911.385662020051,2177.102188090662
72,5,4,1,0,1,0,0,,0.0,0.10839210768078596,0.10272430124921073,14753.712130959919,1599.1859539903255
38,2,9,0,0,0,1,1,5344.103558981476,5344.103558981476,0.09955948243696751,0.09476389738237367,7779.520633167196,774.5250478458358
69,3,19,0,2,1,0,0,,0.0,0.16604440938313067,0.15299138177608673,9693.879636114058,1609.6145188097164
46,5,15,1,1,1,1,1,13070.393437172645,13070.393437172645,0.28280433958790396,0.246332763723629,16835.583652712285,4761.176116482209
57,2,15,1,1,1,0,0,,0.0,0.14522079072941466,0.1351686747095766,11061.766698744965,1606.3985068560505
44,4,8,0,1,0,0,0,,0.0,0.18862393651527715,0.17190213448528024,9388.58623345996,1770.9120936683566
33,1,18,1,0,0,0,0,,0.0,0.10081178656221151,0.09589681875888478,9969.1439830804,1005.0072154302563
61,5,18,1,0,0,0,0,,0.0,0.17024784361907222,0.15654425443551467,17452.706222671204,2971.2855997269357
73,4,16,2,2,0,0,0,,0.0,0.19701015565985838,0.1788177063777453,21231.686690775234,4182.857899870973
33,4,16,0,2,1,0,0,,0.0,0.28238045107438636,0.24601322511956958,10334.571394570143,2918.280932059167
62,5,13,1,1,0,0,0,,0.0,0.20867025504431808,0.18833716675351564,16436.339735576883,3429.7752046178875
32,2,1,1,0,1,0,0,,0.0,0.0975880725998227,0.09297754578772965,9351.106897171121,912.5564987698382
58,3,5,0,4,1,0,0,,0.0,0.3175881059785874,0.2720974546170798,8194.75832336055,2602.5577748683413
62,5,15,1,0,1,0,0,,0.0,0.16746180224868998,0.15419107532923404,16835.583652712285,2819.317180391782
43,1,6,1,0,0,0,0,,0.0,0.08590613777357589,0.08231963730016978,8632.15963358746,741.5554947664648
60,5,3,0,0,0,0,0,,0.0,0.12809283557753198,0.12022829876058616,9771.74170621945,1251.69010368088
33,2,18,0,0,0,0,0,,0.0,0.1114142547078055,0.10543190688265236,8666.75742156741,965.600318857275
22,3,9,0,1,1,0,0,,0.0,0.137106127466866,0.1281223089488288,8597.699960345846,1178.7973466850465
23,3,17,1,1,0,0,0,,0.0,0.17041817661499487,0.15668791054454978,13033.131874677301,2221.0825696652755
43,4,5,0,0,0,0,0,,0.0,0.13405568575751547,0.12545863625094433,9056.60857963643,1214.0898737805599
69,5,7,1,0,0,0,0,,0.0,0.11818548285955778,0.11146876998414335,15294.521938003658,1807.5904603490617
25,2,6,0,1,1,0,0,,0.0,0.11503716832633237,0.10866698606519032,7504.439066736405,863.2894201148605
43,1,7,1,0,1,1,1,30895.396329759442,30895.396329759442,0.09167551017506329,0.08759883358997689,8736.369558222228,800.911136327915
58,3,8,1,0,2,0,0,,0.0,0.13239041928410616,0.12400107856413989,13592.181272931539,1799.4745777089822
29,4,5,1,0,0,0,0,,0.0,0.1373119409796108,0.12830173469435302,12981.10347335243,1782.4605139831897
59,4,16,1,2,0,0,0,,0.0,0.26171477847129,0.23026946387853808,14812.845166711255,3876.740491335355
35,4,6,0,4,1,1,1,5553.80560314318,5553.80560314318,0.4482070446905448,0.36122758409749733,9165.942574556786,4108.240033145341
64,2,8,0,0,0,0,0,,0.0,0.07368176001776586,0.07103271866397853,7686.7242772582385,566.3713735196762
51,5,17,1,1,0,0,0,,0.0,0.2656700908292152,0.23330797548774218,17244.525331510835,4581.354611129186
49,1,8,0,2,1,0,0,,0.0,0.1436321157628144,0.1337936468858164,6955.235748188675,998.9952261415008
28,1,0,1,0,1,1,1,7944.286748517999,7944.286748517999,0.07715028546887258,0.07424928372885653,8032.491236627475,619.708991932027
44,1,0,1,2,0,0,0,,0.0,0.14255890446762348,0.13286352542453383,8032.491236627475,1145.103150839399
66,5,8,2,0,2,0,0,,0.0,0.19051963859332918,0.17347047430756013,26829.303947079305,5111.509291708129
19,1,12,0,1,0,0,0,,0.0,0.09437302488526528,0.09005673255823599,7297.229247863296,688.6615974020884
61,4,18,1,1,0,0,0,,0.0,0.1919539076686818,0.17465509031399895,15172.653884675214,2912.4502028678125
46,5,2,0,0,0,0,0,,0.0,0.15137425479919112,0.14047404325810742,9655.181565308612,1461.5459143994788
59,4,10,2,2,0,2,1,29081.8844102872,58163.7688205744,0.2591106729152009,0.22826239213361543,19756.740435949912,5119.182308969941
55,5,5,1,1,0,0,0,,0.0,0.21066206860156073,0.1899522387935343,14931.82320565183,3145.5687644954023
42,1,9,1,0,1,0,0,,0.0,0.09470390918210556,0.09035776868963707,8948.578752001402,847.4653894384602
35,3,8,1,1,2,0,0,,0.0,0.207525719000877,0.18740765755882405,13592.181272931539,2820.727191455373
53,3,6,0,3,1,0,0,,0.0,0.258076300347838,0.2274637149291514,8293.687813027842,2140.404267026177
25,4,0,1,2,2,0,0,,0.0,0.2691463487291839,0.23596856756338758,14203.589594658612,3822.8442782501947
51,4,1,2,1,0,0,0,,0.0,0.18909608629788227,0.17229302842495275,17734.195430821725,3353.466949610174
